Date,Time,Open,High,Low,Close,Volume
20040512,0,4826,4900,4826,4844,15651
20040515,0,4844,4844,4844,4844,400
20040516,0,4602,4839,4602,4839,1055
20040517,0,4598,4818,4598,4818,3648
20040518,0,4578,4761,4578,4761,10192
20040519,0,4523,4700,4523,4700,10941
20040522,0,4465,4698,4465,4698,352
20040523,0,4464,4623,4464,4623,13725
20040524,0,4392,4570,4392,4570,9739
20040525,0,4342,4400,4342,4364,63021
20040526,0,4342,4353,4146,4353,1247878
20040529,0,4343,4465,4338,4369,16290
20040530,0,4369,4524,4369,4417,21535
20040531,0,4417,4637,4417,4437,5656
20040601,0,4658,4658,4485,4485,9576
20040602,0,4709,4709,4500,4550,17014
20040605,0,4550,4556,4550,4550,9240
20040606,0,4530,4550,4530,4548,14531
20040607,0,4551,4551,4548,4548,5326
20040608,0,4552,4552,4549,4549,17198
20040609,0,4550,4551,4549,4549,3406
20040612,0,4550,4550,4549,4549,2408
20040613,0,4530,4544,4490,4544,7364
20040614,0,4379,4472,4317,4472,14338
20040615,0,4249,4347,4249,4347,30098
20040616,0,4310,4342,4310,4342,7265
20040619,0,4300,4300,4125,4247,43844
20040620,0,4035,4124,4035,4124,25050
20040621,0,4035,4300,4015,4113,15099
20040622,0,4015,4318,4015,4163,22584
20040623,0,4334,4371,4278,4278,26928
20040626,0,4450,4491,4301,4327,11158
20040627,0,4543,4543,4500,4519,245896
20040628,0,4499,4744,4499,4521,6894
20040629,0,4741,4747,4572,4572,10622
20040630,0,4598,4800,4597,4609,9739
20040703,0,4609,4611,4599,4608,7822
20040704,0,4577,4577,4410,4557,13908
20040710,0,4410,4410,4022,4304,1778
20040712,0,4089,4302,4089,4302,374
20040713,0,4089,4273,4089,4273,5852
20040714,0,4060,4248,4060,4248,4899
20040717,0,4036,4241,4036,4241,1239
20040718,0,4029,4221,4029,4221,4074
20040719,0,4021,4204,4021,4204,3600
20040720,0,3994,4146,3994,4146,11820
20040724,0,3994,4014,3939,4014,27507
20040726,0,3814,4003,3814,4003,8281
20040727,0,3969,3999,3969,3999,5499
20040728,0,3978,3984,3801,3984,4914
