Date,Time,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,"EMA20,ffd=True","EMA50,ffd=True","EMA100,ffd=True","EMA200,ffd=True","ADX14,ffd=True","BBP13,method=EMA,ffd=True","RSI14,method=RMA,ffd=True",Stoch5-3-3_line,Stoch5-3-3_signal,Stoch14-3-3_line,Stoch14-3-3_signal,Stoch21-5-5_line,Stoch21-5-5_signal,"StochRSI13-8-5-5_line,rsi-method=[rma,True]","StochRSI13-8-5-5_signal,rsi-method=[rma,True]","StochRSI21-13-8-8_line,rsi-method=[sma,True]","StochRSI21-13-8-8_signal,rsi-method=[sma,True]","CCI14,method=SMA","CCI20,method=SMA","CCI30,method=SMA","MACD6-13-5_line,method=[EMA,True],SMA","MACD6-13-5_signal,method=[EMA,True],SMA","MACD12-26-9_line,method=[EMA,True],SMA","MACD12-26-9_signal,method=[EMA,True],SMA","MACD24-52-18_line,method=[EMA,True],SMA","MACD24-52-18_signal,method=[EMA,True],SMA"
20211023,0,57300,57300,54100,54100,5118035,56944.5,54371.2,,,56020.8038170094,51839.18105748983,,,30.076913643335168,-244.6165149378503,47.29264602016271,71.93656671061366,59.73280460489078,40.10050251256282,32.42681439475465,28.18911684660457,20.06738990216847,32.94835715707421,21.577638864732563,13.136670076561753,7.198837756080808,-44.40911499735021,-70.7421266585242,-98.65883901007135,-738.4877659358244,-1014.359940081503,243.47293720451853,984.5502910759379,4035.966843493661,
20211025,0,53800,54490,52900,53010,2126241,56666.5,54785.6,,,55734.060596341835,51885.09552582356,,,29.259504774074408,-3451.0998699467455,44.88427119301531,51.85185185185185,63.470684006323154,31.892797319932995,36.125069793411505,29.951956087531926,23.712665840937536,36.058948843417355,26.487934076602432,13.913058278111883,8.148795748947878,-91.68021871832956,-117.86619785686966,-140.64773765609698,-929.2495838782997,-953.8498221305708,8.60549611276656,734.5967449289617,3768.2314963332174,
20211026,0,52600,55100,52400,54400,1890541,56458.5,55195.6,,,55607.00720621404,51983.719230693234,,,28.226178638176762,-3049.5141742400738,48.486912561042004,35.02366104716797,52.93735986987783,23.383584589614742,31.792294807370183,32.88442211055276,27.823579237585523,47.71144829731111,34.06007506356177,16.844481006268424,9.465181582834514,-67.01543750039188,-88.32946126194857,-116.15163675622857,-809.5425506235551,-837.5844510532436,-64.62233375812502,526.8472958845773,3578.5813165562067,
20211027,0,54400,55620,53010,54790,2039833,56268.0,55579.6,,,55529.19699609841,52093.76945694056,,,27.030025619974897,-1781.0121493486367,49.484620858588215,36.14953948437246,41.00835079446409,26.252098224314107,27.176160044620616,31.53768844221105,30.168530402985937,52.092228578221444,40.53483586379134,18.56670478185506,10.771166515824016,-40.965807031049295,-63.72372886189285,-93.22249727494051,-647.4956914625436,-751.3573074935236,-90.1470171753972,364.19253518920027,3416.366987390429,
20211101,0,55500,55500,52750,52930,2662122,55967.0,55891.0,,,55281.65442504142,52126.562811570344,,,26.01606508676649,-1510.8675565845479,45.00745221375452,31.585047020720335,34.25274918408692,27.538083707284517,25.724588840404454,23.47738693467337,29.208114084314737,45.3917732081152,42.84055121682786,19.509951481101563,12.540818584259544,-69.48332568456445,-81.32268653455911,-107.41940985843428,-787.5692188552857,-782.4689621511018,-257.49374045473814,205.8381622902226,3183.8365148915473,
20211102,0,52920,56010,52010,55700,4425748,55799.5,56220.6,,,55321.496860751766,52266.69760327347,,,25.353466116290857,-1975.029334215331,51.97601068429305,49.58807442671141,39.10755364393473,36.47856388595565,30.089581939184757,26.693467336683415,28.908984182330506,57.77820485845374,47.80652075710377,24.59865645072734,15.375277041463896,-12.526546669916483,-47.3424850404786,-75.68126049334883,-445.4685532240983,-723.8651196087565,-164.70278301884537,101.49588727679495,3085.441352400412,
20211103,0,55560,57950,54200,57230,4465543,55786.0,56541.6,,,55503.25906448969,52461.33691294902,,,23.80191209147545,1517.1177135297185,55.34215848304718,63.64837146980003,48.27383097241059,54.53995859213251,39.518868728457555,35.175879396984925,29.9537688442211,73.35499200149435,55.26572938871917,28.02742232230711,18.197798966194792,137.2506006476546,25.921925628760988,-9.47138595897794,0.7346523959786282,-537.8682723539008,31.924921901227208,56.171106460016745,3053.683396919885,
20211106,0,57760,59700,56160,57340,4749113,55816.5,56823.8,,,55678.18677263353,52652.65703400984,,,22.570382788973088,4648.95804016832,55.583208997932566,83.14652703891976,65.46099097847707,71.95697120914512,54.32516456241109,41.08542713567839,31.59396984924623,80.83163584299741,61.88976689785643,29.70171668769644,20.537332635578696,180.00316605983798,71.71140014535266,38.14480427780361,289.60458839209605,-318.0388445507706,194.38907906765235,36.68361283732278,3020.99900796415,
20211107,0,57340,57970,55670,55670,3675807,55605.0,57029.4,,,55677.40708000177,52770.98420914671,,,21.207592693742715,2410.5354630014044,51.07573309630687,68.2612864667481,71.68539499182263,70.26596591813983,65.58763190647248,42.85427135678392,33.857286432160805,80.06096362805619,67.48351390782338,32.12407857013525,22.910758697275384,82.55360623781631,29.097098395201492,-6.3835804613957325,216.07170886351378,-145.3253644855591,186.24117851066694,9.740859821080651,2912.3629443589234,
20211108,0,55000,57260,53860,54700,3093578,55300.0,57170.4,,,55584.32069143018,52846.63188721939,,,20.203290025667545,151.88753971547703,48.609949746266764,50.628521889900306,67.34544513185605,53.64265364265364,65.2885302566462,46.41206030150754,38.44422110552764,82.70471007921665,74.94610128204367,34.48503727781816,25.48225607223867,17.316404387219457,-8.686585055460895,-44.97832817337424,23.660896545457945,16.92065859458962,100.35617176646338,-6.161003005369922,2766.4010165201544,
